item_id,waist,size,quality,cup size,hips,bra size,category,bust,height,user_name,length,fit,user_id,shoe size,shoe width,review_summary,review_text
163558,,12,5.0,c,,36.0,dresses,36.0,5ft 2in,rdenicola,just right,large,204792,,,"Oh my, oh my, oh my is dr","Oh my, oh my, oh my is dress amazing! It is so super cute and it does actually really glow! It ran a tad big on me but I did not want to let it go to size down. It is so cute and flattering. Totally in love as every other reviewer is as well!"
136482,,8,5.0,b,,36.0,new,,5ft 6in,Kate,just right,fit,574415,,,,
216517,,15,5.0,c,,,dresses,,5ft 8in,Californiamom,slightly long,fit,497351,,,My new favorite dress,"This was one of about 12 items I bought from ModCloth for the first time. I love nearly everything I ordered, but this is really special. I can't believe I ordered something online that feels like it was custom made. It is simply gorgeousI'm a lot heavier now than I was for most of my adult life and feel very selfconscious in clothing that shows off curves, but this is just amazingly flattering. Huge volumes of cloth create an enormous skirt, but it is well constructed and sewn so that it isn't bunched up around the hips or stomach. The shoulders and bustline fit perfectly. The colors are really great too. I could go on and on, how much I love this dress. The brand is Bright and Beautiful and I wish ModCloth would identify the other items in this brand. It is the best fitting dress I've probably bought in my lifeand that includes when I weighed 40 pounds less! Make this in more fabrics, please!!"
125442,,5,4.0,b,36.0,32.0,new,,5ft 5in,chelseariffic,just right,small,627297,,,,
163558,,4,3.0,dd/e,,34.0,dresses,,5ft 5in,beaddee,just right,small,814691,,,I would order a size up i,"I would order a size up if you want to wear a shirt underneath! The dance floor date dress is the same brand and I got a medium in that dress and it fit perfectly. This one was pretty snug in the chest. You may be fine if you don't wear a shirt underneath like some people posted in pictures. I'm a future mortician, so this dress will be a fun addition to my wardrobe."
200824,,15,3.0,dd/e,42.0,34.0,dresses,,5ft 4in,Valerie,very long,fit,743562,,,I was worried about the d,I was worried about the dress fitting well on top and the XL was the perfect size.  The top fits perfectly and gathers in just the right spot on the waist.
124124,,15,4.0,c,45.0,38.0,new,36.0,5ft 8in,kbponte,just right,fit,193255,10.5,average,,
161514,,20,4.0,c,50.0,38.0,dresses,,5ft 3in,amepollard,slightly short,fit,705842,9.0,average,So comfy and looks super,So comfy and looks super dressy.
146231,,4,3.0,c,40.0,32.0,new,34.0,5ft 7in,ncockerill,slightly short,small,350489,9.0,average,,
125442,,13,5.0,c,41.0,38.0,new,,5ft 5in,typicallysunday,just right,fit,145297,9.0,,,
210299,,15,4.0,d,,40.0,dresses,,5ft 3in,sjrkav,just right,fit,36418,,,This dress is so lovely.,"This dress is so lovely. I didn't expect it to be a polyester material (hey that's why you read the details!) but the lining is a much smoother, lighter material so it's still really comfortable against your skin. The fit is just right, it's not too long or too short for me being a shorter girl, the sleeves are just the right length and aren't too tight. Like others have said the collar is lower and wider than I expected, not your typical peter pan collar, but still very modest and very adorable. Every time I pull this dress out of my closet I swoon all over again!"
175156,,3,4.0,,,,dresses,,5ft 7in,hannacarolines,slightly long,small,576876,,,A little snug at the top,"A little snug at the top because of the cups, the lace is restrictive. Too sweet for my style but a very pretty dress"
279440,37.0,26,5.0,j,49.0,36.0,sale,,5ft 5in,Philina,just right,small,470275,,,"Beautiful, but not chestfriendly","This dress is beautiful and the quality is great, but I wish I had ordered it in a larger size. I ordered a 2X (dress size 20), but there is no give in the boob area. It's a bit snug, but not too terrible."
152513,,20,5.0,dd/e,,42.0,new,,5ft 10in,Candice,just right,fit,584672,,,,
163185,,20,5.0,b,41.0,36.0,dresses,40.0,5ft 6in,kim_dibenedetto,slightly long,large,512277,8.5,narrow,I ordered the 1X because,"I ordered the 1X because the XL was not available.  Also it was 40% off with the deal of the day.  Love the dress, it is a bit large on me and it is longer then I expected.  Which I am actually pleased with.  If an XL would have been available I would size down. It is still a keeper."
261303,27.0,8,5.0,c,36.0,34.0,dresses,35.0,5ft 3in,Nicole,slightly long,small,999843,,,This dress is adorable! I,"This dress is adorable! I am either a Small or Medium depending on the clothing item, and I am super glad I went with a medium. While it's pretty long, the top fits snugly, and I'm a 34C. It's still very comfortable, but if I had gotten a small, I would have been in trouble. Overall, I am very pleased with the quality of the dress and how cute it will be to dress up or down!"
161514,,4,5.0,d,,34.0,dresses,,5ft,Erin,just right,fit,140501,,,I have this dress in gree,"I have this dress in green and ADORE it, so I was thrilled when they added it in another color. Unfortunately, it was sold out, so I had to stalk it for several months waiting for it to return. It was totally worth it like the green version, it is very flattering but still loose enough to not cling to stomach and thighs. If they make any more colors, I will get those too!"
210905,33.0,15,4.0,d,44.0,36.0,dresses,,5ft 4in,sooshmoo,just right,fit,791632,,,Holy mackerel I'm in luuu,"Holy mackerel I'm in luuuurve! It may run a teensy bit loose, but the L would have been snug. The tie belt cinches things in perfectly, tho so no worries. It looks super cute tied in front OR back. I'm pairing this with black Mary janes and pearls. I eyeballed this one for a long time. If you're on the fence, hop over. You NEED dis!"
152513,,20,5.0,c,42.0,36.0,new,38.0,5ft 7in,Erin,just right,large,856826,9.0,average,,
136482,,4,5.0,c,,36.0,new,,5ft,rkrebs21,just right,fit,768299,,,,
151045,,20,4.0,b,47.0,40.0,new,,5ft 6in,amiegossett,just right,large,483104,,,,
170806,,12,5.0,ddd/f,38.0,34.0,dresses,,5ft 9in,Connie,slightly long,fit,745147,,,Nice dress. Fine for work,Nice dress. Fine for work or brunchBut didn't wow me.
162470,,8,5.0,c,38.0,34.0,dresses,,5ft 4in,Nicole,slightly long,fit,857108,9.0,average,I initially wanted to ret,"I initially wanted to return this dress. It wasn't what I imagined  and therefore, what I thought I didn't want. It sat, ready to be returned in my entry way for days. While ModCloth does an awesome job of easy returns, I am very impatient. I asked my boyfriend if I should return it or not, and he said I was hoping you didn't. So I tried it on again, and started to rethink.  The material of the dress has a nice weight to it  not too heavy to add layers to it for colder seasons, but not too light to only make it wearable for the warmer seasons. With the weight, comes the structure of the dress  or at least I think so.  The structure doesn't necessarily WOW me, however, I'm relatively picky and I think I was expecting more of a fit to flare effect on the dress.  Otherwise, the dress fits and sits pretty well. To recap: I am a giant picky cry baby who nit picked this dress almost forcing myself to dislike it when it actually makes for a great staple in the closet. I will be getting it hemmed and investing in a thinner petticoat or slip to flare out the bottom, but when it comes down to it, I'm kicking my own butt for returning it. I would recommend this dress."
152702,,4,4.0,c,36.0,30.0,new,,5ft 7in,peachmoon3,just right,fit,997347,,,I love that the material,I love that the material of this dress is thicker than you'd expect. It's also stretchier than you would expect which is awesome. I'm quite petite yet tall and the small fit perfectly. I can see how this dress would suit any figure or size because of the elasticity in the fabric and the draping in the front. Very flattering and super comfortable!
125442,,5,5.0,b,36.0,34.0,new,,5ft 3in,iamsyco,just right,small,552213,,,,
210299,,4,3.0,a,33.0,,dresses,,5ft 4in,jademaca,just right,fit,375900,,,I'm not a fan of the expo,I'm not a fan of the exposed zipper or the material but overall the design is tr?s cute and worth the purchase!
175771,,15,4.0,ddd/f,43.0,34.0,dresses,,5ft 4in,kbailey3807,just right,fit,637516,,,I love this dress! I get,I love this dress! I get so many compliments when I wear it. It's a great purchase!
210299,,4,4.0,b,,34.0,dresses,,5ft 1in,jsklugel,just right,fit,477212,,,I'm very happy with this,"I'm very happy with this dress. It's well made and very versatile. The length is just perfect, above my knee but not too short. Love!"
175771,,12,2.0,b,40.0,38.0,dresses,,5ft 9in,blueeyes1316,slightly short,fit,497227,,,I just got this dress and,"I just got this dress and it had so many positive reviews I was so excited to try it on. It looked so cute when I opened the box. The buttons are adorable. I love the collar. But then I put it on, and then I hated it. I was really excited about the pockets, but they ended up being the part I hated the most. The pockets make the dress stick out in a really unflattering place on me: right at my hips. I have wide hips so it made my top look even smaller than it already is, and my hips even bigger than they already are. I tried ironing the pockets flat as others suggested, but it didn't help. The dress is also short for me, hits me about midthigh. I am fairly tall, but I figured ordering the large would make the dress fall at a reasonable length. I really do love the collar still but I just can't get over how awkward the bottom of this looks on me. If it had pleats, I could probably jive with it because it would hide the pockets more.If you have wide hips, I wouldn't buy this dress. I'll be sending mine back."
146231,30.0,8,3.0,ddd/f,42.0,30.0,new,36.0,5ft 2in,Nicole Hoppe,just right,small,915686,6.5,wide,,
147714,,8,4.0,b,,34.0,new,35.0,5ft 4in,Laurie,just right,large,840637,8.5,,,
146231,,32,5.0,,,,new,,5ft 6in,Devina,just right,fit,876062,,,,
152702,,12,5.0,c,40.0,36.0,new,,5ft 7in,Sarah,just right,fit,420300,,,This is one of four dress,"This is one of four dresses I bought in my first ModCloth purchase, and this dress... is magic. It does wonderful things to my figure in all the right places. I have an hourglass shape, and usually have a hard time finding dresses that not only accommodate my large bust, but also highlight my waist without looking like I'm trying too hard. This dress lays beautifully and is the perfect length (just at my knees). So happy with this purchase!"
175771,,12,5.0,d,43.0,36.0,dresses,,5ft 6in,Morgan,just right,fit,694376,,,I love this dress! I have,I love this dress! I have been looking at it for a long time and finally decided to buy it and I am so happy that I did! I think it's definitely worth it. It is very flattering and HAS POCKETS.. I usually don't like dresses that do not fit around my hips because they can be very unflattering and make you look very large through that area but I have to say I love how this dress fits... so comfortable too! :)
151045,,26,3.0,b,45.0,42.0,new,,5ft 5in,Danielle,just right,fit,940894,8.5,average,,
152702,,8,5.0,b,39.0,38.0,new,,5ft 4in,jacqueline.miller.08,just right,fit,663260,8.5,wide,The rippling of the fabri,The rippling of the fabric just wasn't flattering on me. Otherwise the dress fit perfectly and was nice construction
126885,,12,2.0,d,39.0,34.0,new,,5ft 7in,Caitlyn,slightly long,fit,742190,,,,
161592,,30,4.0,d,54.0,42.0,dresses,,5ft 7in,iluvurmushroom,just right,fit,395887,,,I LOVE this dress I felt,I LOVE this dress I felt so beautiful on my wedding day!! It match my veil amazingly and was just pefect there were a few stray threads. It is from London so pay attention to sizing.
136482,,12,3.0,d,40.0,38.0,new,,5ft 8in,cceller83,slightly short,fit,951193,,,,
167315,,20,5.0,ddd/f,44.0,40.0,dresses,,5ft 10in,lacey.skorepa,just right,fit,953401,,,Beautiful dress! This is,"Beautiful dress! This is a midi dress which is what I prefer because at 5'10 short dress are (quite frankly) too short. Plus, ladies...if you throw on a nice pair of medium wedged sandals you'll get a beautiful leg line. I love the high waist which hides the weight I carry in my lower tummy and the room in the bust is very accommodating for larger busts (this is a dress built for larger busts...or pushup bras). This would be absolutely lovely paired with almost any cropped cardigan so that's a plus. The only small negative is the material...which seems to be a heavier cotton (wrinkles easily)...but that's a small price to pay :)"
160625,34.0,15,5.0,dd/e,42.0,36.0,dresses,,5ft 4in,red_effy,slightly long,fit,221733,,,Love this dress! The fit,"Love this dress! The fit was great but the zipper would get a little stuck. You have to be extra careful with the delicate material. As for the neck line, it does bunch and fall but a little clothing tape holds it up perfectly."
146231,,26,3.0,ddd/f,48.0,40.0,new,,5ft 6in,amberjones04,just right,fit,779554,,,,
123373,,11,5.0,c,37.0,36.0,new,35.0,5ft 2in,Janine,slightly long,small,117413,6.0,average,,
175771,,12,3.0,ddd/f,,36.0,dresses,,5ft 3in,daniilogue,just right,fit,908116,,,Some of the buttons did n,Some of the buttons did not hold up well in the wash and had to be sewn back on.
260507,33.0,12,5.0,d,41.0,34.0,dresses,,5ft 2in,emily,just right,fit,127806,,,Very happy!! I thought I,Very happy!! I thought I would need to return it but it fits perfectly.
222123,31.0,15,5.0,c,,38.0,dresses,38.0,5ft 4in,ChristineG,slightly long,large,944369,9.0,average,Love it!,"Received this dress in the mail today.This dress was just what I wanted. Cloth is a nice weight. Dress is well made. True to size. I am a 38c and no pucker, lays well across the chest."
175771,,12,5.0,b,39.0,36.0,dresses,39.0,5ft 4in,jendoddphoto,just right,fit,150254,8.0,narrow,I really want to love thi,I really want to love this dress. It is so cute!  It fits!  But I don't know that it works with my shape. My waist is high and I feel like it drapes oddly. I hope it grows on me!
137865,,12,5.0,d,,36.0,new,,5ft 7in,nataschasvs,just right,fit,596644,,,,
129268,,38,2.0,c,52.0,44.0,new,,6ft 1in,fifth_beatle_2002,just right,small,539305,,,,
162470,,32,4.0,j,53.0,44.0,dresses,,5ft 10in,taylor.m.noe,just right,large,635355,,,I hadn't seen many review,"I hadn't seen many reviews of this in a plus size so I thought I would put one up. First let me say: I love this dress, and I've worn it several times since I purchased it just over a month ago. I am usually a true 3X at Modcloth, but I often size up in dresses because I have a very large bust. VERY large. Since the fabric provides stretch I went with a 3X on this item, but honestly I might have even been able to size down. The 3X fits very comfortably, and if you don't want a dress that's bodycon I would order in your true size. However it does leave a little bit of room in the waist for me, though it still looks gorgeous. The dress is a heavy, sturdy material. The length hits me just below the knee and I'm tall, so it might be a little long on shorter women. I find the seams on the front of the dress very flattering, and it's a piece that's versatile enough I can wear it just about anywhere. The plus sizes seem to have more of a Vneck than the regular sizes, which I enjoy but people might want to be aware of. Overall I'm so glad that I took the chance on this item even with few plus size reviews, it's instantly become a staple for me. So comfortable!!"
210299,,20,4.0,,,,dresses,,5ft 6in,jcoughenour1,slightly short,fit,939046,,,I really love this dress!,I really love this dress! It has a straigheter line in the skirt whish sometimes is problematic for my hips but this is a very flattering dress. My only complaint is the dress is a bit short. I thought about returning it but I really liked it so I sewed some layers of black and white lace to the bottom to add a little bit of length and it looks perfect. I do recommend wearing a slip with the dress as the fabric is a little thin. Not in a poor quality way it is nice fabric I just think a slip helps the fabric lay nicer.
155530,,32,5.0,d,48.0,44.0,wedding,49.0,5ft 7in,Reesa,just right,fit,22334,,,I was surprised at how th,"I was surprised at how thick the material on this dress is, but I loooove the drape and sway of it.  I will probably buy it in another colour.  It's a teeensy bit long in the top, but that actually makes it fit over my boobs pretty well, and it doesn't bunch weirdly."
151045,,32,4.0,h,56.0,42.0,new,,5ft 4in,beckett.erika,just right,fit,200430,,,,
125442,,5,5.0,d,36.0,32.0,new,,5ft 5in,Rebecca,just right,fit,649271,,,,
169727,,15,4.0,ddd/f,40.0,32.0,dresses,,5ft 2in,Val,just right,small,911727,,,The quality of the dress,"The quality of the dress is very very good. I was surprised at how light the fabric was. The overall fit was great, but the bust area was too small. My size F bust is hard to fit through the dress to slip it on and is almost more than difficult trying to get off, but when I got into it, it felt very nice and I looked great! I'll start getting sizes bigger than usual to fit my bust; My grandmother knows how to hem so I'll have to take future orders to her to size parts down."
167400,,4,5.0,c,37.0,34.0,dresses,,5ft 2in,amandavcharney,slightly long,fit,281987,6.5,,(pictured: Medium. Exchan,"(pictured: Medium. Exchanged for a Small.) I LOVE this dress, I wore it for my cousin's wedding, which was held on a yacht. We were told to be formal, but not black tie, and this fit the bill well enough! I originally ordered a medium, which fit just fine, but didn't hug my waist as much as I wanted it to. It was also pretty long, as you can see in the pictures. I had terrible lighting, but know that the dress really was a dark maroon color, really beautiful. It'll make your butt look AMAZING, btw. I got compliments on it all night! The dress, not my butt. Well, that too."
175771,,15,4.0,d,46.0,40.0,dresses,,5ft 3in,wingsofwax,slightly short,fit,832032,,,This dress is perfect. I,This dress is perfect. I love it. My big butt does make it a wee bit short on the back but it's still work friendly!
146231,,8,3.0,,,,new,,5ft 3in,linda.nguyen,just right,fit,925912,,,,
168387,,26,5.0,dd/e,52.0,40.0,dresses,,5ft 5in,lexa1899,just right,fit,909156,,,I love this dress! The fi,I love this dress! The fit is perfect and it is super comfortable!
126885,,15,4.0,dddd/g,,36.0,new,,5ft 6in,saechaofam,just right,small,844,,,,
146231,,8,5.0,c,42.0,36.0,new,,5ft 4in,Kendal,just right,small,684506,,,,
152702,,12,5.0,,,,new,,5ft 6in,Victoria,just right,fit,503657,,,This dress is beautiful!,"This dress is beautiful! The color is absolute perfection and the fabric is perfect for the fall/winter! The side pleats are very flattering and camouflage any problem areas. The dress was a little tight on my 47 inch hips, but with a pair of Spanx, it's perfect! If a 1X would have been available, I would have exchanged it for the larger size!"
175771,,8,4.0,ddd/f,36.0,32.0,dresses,,5ft 4in,Fawn,just right,large,408696,,,Of all the coach dresses,"Of all the coach dresses (yes, I own several), this one has the best fabric, is wellsewn and has nicely finished arm holes. However, the arm holes are large for the size (much bigger than other dresses purchased in the same size). Make sureYou've got a nude bra, or it can be a bit embarrassing when you lift your arms to expose a hot pink paisley bra strap."
165525,,4,4.0,b,,36.0,dresses,,5ft 1in,mandarosemiller,just right,fit,43154,,,Great dress I have really,Great dress I have really enjoyed it!
130225,,4,2.0,b,40.0,38.0,new,,5ft 3in,kara.a.kuligowski,very long,fit,180347,7.5,,,
200824,,12,3.0,,,,dresses,,5ft 3in,Elisa,slightly short,large,156349,,,"Like another reviewer, I","Like another reviewer, I bought the similar Streetcar Tour Dress in Noir and was was much happier with that purchase. It's quality is better and it fits better around my bust area than the Coach Tour Dress. This dress is much shorter than I was expecting and gapes at the armholes near my bust. I also prefer the cleaner lines of the Streetcar dress that is without the pockets of this dress. I'm extremely disappointed in this dress given how much I love the Streetcar Tour Dress—which is not available in any of the wonderful colors this dress comes in."
161592,,7,1.0,a,41.0,34.0,dresses,,5ft 5in,Hannah,just right,large,428687,,,I was really excited abou,"I was really excited about this dress when I first saw it on the site. I thought it was simply beautiful and would be perfect for my wedding. However, when I received it I was disappointed. The idea of the dress was great, but in actuality, I felt that the material was cheap and costumelike. I felt that this dress was not worth $175, but maybe $50. It was also incredibly awkward to put on and wear. I felt like I was dressing up for a costume party. The material is scratchy. Generally I get amazing dresses form Modcloth, but this one was a let down. I returned it."
175771,,4,4.0,b,36.0,36.0,dresses,,5ft 7in,jamielambert418,just right,fit,756855,,,I fell in love with this,"I fell in love with this dress, in all colors, as soon as I saw it. I'm sorry to say when it arrived, and I tried it on, it just didn't fit me right. I think this has more to do with my body type and height, than the dress itself, because it looks very cute on other Modclothers. The fabric is thick and good quality, color is right on, and I would still recommend."
175771,,15,5.0,dd/e,,42.0,dresses,,5ft 10in,Candice,just right,fit,584672,,,I received this dress in,"I received this dress in the mail today, and I am so happy with it! It is fitted in the right areas to make any figure flattering, and high quality. I love this dress and want to buy it in all of the colors it is offered in!!"
152513,,26,3.0,ddd/f,44.0,42.0,new,,5ft 4in,sassymamabecky,just right,fit,288958,,,,
171740,,9,5.0,c,43.0,36.0,dresses,,5ft,Brenda,just right,large,979826,,,I love these dresses. I w,"I love these dresses. I want them in every color. I can dress this up or down, for work or play. Excellent fit and adorable with heels, flats or boots!"
136482,,8,3.0,d,36.0,32.0,new,,5ft 4in,whit,just right,small,586672,6.5,average,,
136482,,8,4.0,b,38.0,34.0,new,36.0,5ft 2in,mrsreyez,just right,fit,210148,6.5,average,,
200824,,4,5.0,,38.0,,dresses,,5ft 2in,katkat8000,just right,fit,522499,,,This dress is spectacular,"This dress is spectacular. I was worried about the size being too tight, but it fits like a glove. Just the right length, and great material. If I could I would buy it in every color and pattern!"
169727,,32,4.0,dd/e,55.0,44.0,dresses,,5ft 8in,jenncatt3,just right,small,955845,,,I really wanted this dres,I really wanted this dress to fit but it was much to small in the bust and could not be worn
147714,,20,3.0,h,41.0,36.0,new,,5ft 6in,Sabrina,slightly short,fit,488779,10.0,narrow,,
126560,30.0,8,5.0,c,40.0,36.0,new,36.0,5ft 7in,SWETA,slightly short,fit,88648,8.5,average,,
210299,,8,4.0,ddd/f,40.0,34.0,dresses,,5ft 7in,Christine,slightly short,fit,943698,,,Got this dress for my wor,Got this dress for my work Christmas party and was not disappointed. Very cute on!
151045,,8,5.0,d,38.0,34.0,new,,5ft 4in,ccardillo707,just right,fit,99028,,,,
126885,,15,5.0,c,44.0,36.0,new,,5ft 8in,Kara,just right,fit,548759,,,,
152702,,8,3.0,b,41.0,36.0,new,,5ft 5in,labelle.mlanie,just right,fit,503725,7.5,wide,I loved the dress! For th,"I loved the dress! For the prize it is almost a rip off! The colour is rich, the fabric is just extensible enough it holds everything in place (with of course the right undies) I am uncertain about the quality of the fabric so I will be extra careful washing. Again the colour, the price and the soft feeling makes up for it. I was looking for a dress I could wear for the cabaret acting number of a swing dance competition. And something I could also pull off at work dressed down a little .. This dress totally cuts it ! I have a long torso so when decided on the M for the fit, I knew my strongest measurement (41 hips) would be lower then most people and The sizing would be right for me ! It was absolutely perfect! The compliments I got on the fit and colour were numerous."
169727,,26,3.0,d,39.0,38.0,dresses,,5ft 6in,rosariodelacerda,just right,fit,163374,,,Good,Good
146231,,12,2.0,ddd/f,36.0,34.0,new,,5ft 5in,Jennifer,just right,small,716101,,,,
146231,,20,3.0,d,40.0,34.0,new,,5ft 7in,raissae,just right,fit,398684,,,,
161592,,21,4.0,d,,38.0,dresses,,,mawoyeye,just right,large,559567,,,I love it. The threads co,I love it. The threads come loose sometimes so be careful
125442,,11,4.0,dd/e,41.0,32.0,new,36.0,5ft 8in,kellyelizabethfellows,slightly short,large,578663,11.0,average,,
153494,,8,3.0,b,35.0,36.0,new,,5ft 3in,ILA,just right,fit,457322,,,This dress is cute and co,"This dress is cute and comfortable, ideal for a spring Sunday!"
171740,,5,3.0,b,34.0,34.0,dresses,,5ft 4in,vb2131,just right,fit,632993,,,This is such a perfect dr,This is such a perfect dress. Very flattering.
147714,,8,3.0,a,,36.0,new,,5ft 6in,mlewell,slightly short,small,294930,,,,
126885,,20,5.0,ddd/f,40.0,42.0,new,,5ft 8in,Amber,just right,fit,136554,,,,
153494,,26,2.0,dddd/g,47.0,36.0,new,46.0,5ft 9in,Meghan,just right,small,373604,,,"Love this dress, I also o","Love this dress, I also own it in the blue polka dots. The quality is good, but not fantastic, however I have gotten a lot of wear out of both. Really cute with a white cardigan."
126885,,32,4.0,d,55.0,38.0,new,,5ft 6in,lynnmcnicol,just right,fit,527964,,,,
175771,,8,4.0,c,,34.0,dresses,,5ft 3in,ashley.birkholz,just right,fit,867471,,,This dress fits perfectly,This dress fits perfectly.  I wore it for a banquet with black tights and a long sleeve black t shirt underneath.
174410,,15,4.0,ddd/f,,38.0,sale,,5ft 4in,emma,just right,fit,756307,,,love it in person as much,"love it in person as much as I did online, the shape and fit are great as is the color and as someone with an issue with textures I was happy to find the dress's material to be very soft and comfortable  so happy with my purchase :)"
163558,,32,5.0,b,55.0,44.0,dresses,,5ft 3in,myrrhmary,just right,fit,458819,,,"I love this dress, the qu","I love this dress, the quality, the fit, and the pattern are all perfect!"
161514,,4,5.0,b,35.0,34.0,dresses,,5ft 2in,AUDRA,just right,fit,936136,,,So very comfortable and s,"So very comfortable and soft! Also got it in olive.  love the length, below the knee."
269063,,5,4.0,c,38.0,36.0,dresses,,5ft 7in,Catie,just right,fit,932281,7.5,,Got this for a holiday pa,Got this for a holiday party and I received SO many compliments and it was very comfortable. It fit like a glove but I didn't need shape wear and it still hid all of my imperfections. Love this dress!
156364,,12,4.0,d,39.0,38.0,new,,5ft 7in,critter5042,just right,fit,691511,,,Cute dress and good quali,"Cute dress and good quality,  just didn't look right on me.  A little itchy but not bad"
161592,,15,2.0,dd/e,,38.0,dresses,,5ft 5in,ishshahtello93,just right,large,825884,7.5,average,I sized up 1 and there wa,"I sized up 1 and there was extra room every where. The quality seemed a little cheap, does not look like the picture. more gold and more like a crunchy feeling."
162470,,12,4.0,c,41.0,38.0,dresses,,5ft 2in,Alexandra,slightly long,fit,820121,8.0,average,I close this dress. I bou,"I close this dress. I bought it for a banquet I was attending and I couldn't be happier. I was originally going to get the Clock Strikes Farewell dress but unfortunately it soldOut before I could get it. I then came across this dress and I thought it's be perfect. And it was. This dress is really slimming and I love the detailing around the bust. Super flattering. I'm so pleased with this purchase. Really good quality too. In the picture, I'm the one on the left."
140372,30.0,8,5.0,b,34.0,36.0,new,,5ft 4in,cierracourty,just right,large,403913,,,,
126885,,15,5.0,h,,36.0,new,,5ft 8in,nichole,just right,small,871698,,,,
169727,,15,3.0,c,,42.0,dresses,,5ft 5in,Daniella,just right,small,936124,7.5,average,"I bought this dress, expe","I bought this dress, expecting it to fit all around, but I could close up zipper all the way because of my bust. Definitely try to size up if you have bigger boobs, ladies! I'm pretty sure you can use the waist ties to help decrease the look of any extra material elsewhere. Lovely dress, though."
